system:index,Meanb3B2,Month,.geo
0,-0.006413666118907458,Month 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-0.00462367428232469,Month 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-0.003887606591419411,Month 3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-0.01402406151875056,Month 4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.010522688889479171,Month 5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-0.010365237413924014,Month 6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-0.01501233749174882,Month 7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-0.007371023245954733,Month 8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,-0.0075050559041725026,Month 9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-0.004460683939202997,Month 10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.011716328216158436,Month 11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-0.0063355831252787575,Month 12,"{""type"":""MultiPoint"",""coordinates"":[]}"
