ID,mean,Month
1,0.118486549,JAN
2,0.145842458,FEB
3,0.168228027,MAR
4,0.138320476,APR
5,0.107476856,MAY
6,0.119874417,JUN
7,0.132377713,JUL
8,0.130556388,AUG
9,0.147373073,SEP
10,0.150885157,OCT
11,0.133006731,NOV
12,0.153890546,DEC
