ID,mean,Month
1,-0.999018209,JAN
2,-0.999150588,FEB
3,-0.99924747,MAR
4,-0.997918914,APR
5,-0.998388166,MAY
6,-0.998501065,JUN
7,-0.997848728,JUL
8,-0.999025753,AUG
9,-0.998645964,SEP
10,-0.999072807,OCT
11,-0.998077548,NOV
12,-0.999141097,DEC
