ID,mean,Month
1,0.029728739,JAN
2,0.122735667,FEB
3,0.133486515,MAR
4,-0.095661844,APR
5,-0.038088442,MAY
6,-0.016010663,JUN
7,-0.075240568,JUL
8,0.043076336,AUG
9,0.035010122,SEP
10,0.099647695,OCT
11,-0.02972093,NOV
12,0.110908445,DEC
