ID,mean,Month
1,-0.232698504,JAN
2,-0.185610428,FEB
3,-0.14397431,MAR
4,-0.179196415,APR
5,-0.251350692,MAY
6,-0.220665449,JUN
7,-0.178988719,JUL
8,-0.213402753,AUG
9,-0.176197644,SEP
10,-0.17553149,OCT
11,-0.189709427,NOV
12,-0.170052416,DEC
