ID,mean,Month
1,-0.998515971,JAN
2,-0.998527751,FEB
3,-0.998520156,MAR
4,-0.997895555,APR
5,-0.998305,MAY
6,-0.998201073,JUN
7,-0.997647293,JUL
8,-0.998474231,AUG
9,-0.998184601,SEP
10,-0.998464987,OCT
11,-0.997997192,NOV
12,-0.998506367,DEC
